trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.6799999999999999, 'e': 0.95}",25,0,-85.76626056793017,"{0: 16, 1: 4, 2: 3, 3: 1, 4: 1}",0
2,False,"{'a': 0.6599999999999999, 'e': 0.8999999999999999}",30,0,-159.769248578883,"{0: 17, 1: 2, 2: 9, 3: 0, 4: 2}",0
3,False,"{'a': 0.6399999999999999, 'e': 0.8499999999999999}",20,0,-67.66935191962641,"{0: 14, 1: 2, 2: 2, 3: 1, 4: 1}",0
4,False,"{'a': 0.6199999999999999, 'e': 0.7999999999999998}",20,0,-68.63088735201235,"{0: 15, 1: 1, 2: 2, 3: 1, 4: 1}",0
5,False,"{'a': 0.5999999999999999, 'e': 0.7499999999999998}",30,0,-140.7296807010743,"{0: 17, 1: 5, 2: 6, 3: 0, 4: 2}",0
6,False,"{'a': 0.5799999999999998, 'e': 0.6999999999999997}",20,0,-40.3596645676854,"{0: 14, 1: 2, 2: 4, 3: 0, 4: 0}",0
7,False,"{'a': 0.5599999999999998, 'e': 0.6499999999999997}",20,0,-26.40339541512467,"{0: 15, 1: 1, 2: 4, 3: 0, 4: 0}",0
8,False,"{'a': 0.5399999999999998, 'e': 0.5999999999999996}",20,0,-62.56273897596236,"{0: 14, 1: 0, 2: 4, 3: 2, 4: 0}",0
9,False,"{'a': 0.5199999999999998, 'e': 0.5499999999999996}",25,0,-28.05559094971837,"{0: 22, 1: 1, 2: 1, 3: 0, 4: 1}",0
10,False,"{'a': 0.4999999999999998, 'e': 0.4999999999999996}",20,4,-56.40490346966774,"{0: 10, 1: 2, 2: 2, 3: 2, 4: 0}",1
11,False,"{'a': 0.47999999999999976, 'e': 0.4499999999999996}",20,15,3.3356755524066504,"{0: 4, 1: 1, 2: 0, 3: 0, 4: 0}",1
12,False,"{'a': 0.45999999999999974, 'e': 0.39999999999999963}",25,5,-98.68122884215298,"{0: 14, 1: 2, 2: 1, 3: 1, 4: 2}",1
13,False,"{'a': 0.4399999999999997, 'e': 0.34999999999999964}",25,0,-74.96433697548476,"{0: 19, 1: 1, 2: 3, 3: 1, 4: 1}",0
14,False,"{'a': 0.4199999999999997, 'e': 0.29999999999999966}",25,5,-9.747866505580546,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",1
15,False,"{'a': 0.3999999999999997, 'e': 0.24999999999999967}",20,3,29.79235443185465,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
16,False,"{'a': 0.37999999999999967, 'e': 0.19999999999999968}",20,12,10.851760015277517,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
17,False,"{'a': 0.35999999999999965, 'e': 0.1499999999999997}",25,13,0.36713610204669944,"{0: 10, 1: 0, 2: 2, 3: 0, 4: 0}",1
18,False,"{'a': 0.33999999999999964, 'e': 0.09999999999999969}",25,0,26.807632855014702,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
19,False,"{'a': 0.3199999999999996, 'e': 0.049999999999999684}",20,10,14.799758080202086,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
20,False,"{'a': 0.2999999999999996, 'e': -3.191891195797325e-16}",20,9,18.840191023158244,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
1,True,"{'a': 0, 'e': 0}",30,22,11.118357626949832,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
2,True,"{'a': 0, 'e': 0}",25,16,12.436851343913158,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
3,True,"{'a': 0, 'e': 0}",20,15,5.911297537534639,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
4,True,"{'a': 0, 'e': 0}",20,14,8.53230660681075,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
5,True,"{'a': 0, 'e': 0}",25,0,-15.23246907292731,"{0: 23, 1: 0, 2: 1, 3: 0, 4: 1}",1
6,True,"{'a': 0, 'e': 0}",20,0,13.900484246309603,"{0: 19, 1: 1, 2: 0, 3: 0, 4: 0}",0
7,True,"{'a': 0, 'e': 0}",25,4,-28.360260595560362,"{0: 19, 1: 0, 2: 0, 3: 1, 4: 1}",1
8,True,"{'a': 0, 'e': 0}",30,20,16.764892073250248,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
9,True,"{'a': 0, 'e': 0}",20,3,-26.251800541611306,"{0: 15, 1: 0, 2: 1, 3: 0, 4: 1}",1
10,True,"{'a': 0, 'e': 0}",35,13,37.57196674314047,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 0}",1
