trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.78, 'e': 1.0}",25,0,-178.22732058263935,"{0: 15, 1: 0, 2: 6, 3: 1, 4: 3}",0
2,False,"{'a': 0.76, 'e': 0.8}",20,0,-61.54537932813612,"{0: 12, 1: 3, 2: 4, 3: 1, 4: 0}",0
3,False,"{'a': 0.74, 'e': 0.6400000000000001}",25,0,-69.70059634415173,"{0: 18, 1: 2, 2: 4, 3: 0, 4: 1}",0
4,False,"{'a': 0.72, 'e': 0.5120000000000001}",25,0,-131.5156943683267,"{0: 17, 1: 1, 2: 3, 3: 2, 4: 2}",0
5,False,"{'a': 0.7, 'e': 0.4096000000000001}",35,23,-6.9429037945101015,"{0: 9, 1: 2, 2: 1, 3: 0, 4: 0}",1
6,False,"{'a': 0.6799999999999999, 'e': 0.3276800000000001}",20,0,8.205775481980206,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",0
7,False,"{'a': 0.6599999999999999, 'e': 0.2621440000000001}",25,15,9.710327057358839,"{0: 9, 1: 1, 2: 0, 3: 0, 4: 0}",1
8,False,"{'a': 0.6399999999999999, 'e': 0.20971520000000007}",20,0,-6.290888819980611,"{0: 18, 1: 1, 2: 0, 3: 1, 4: 0}",1
9,False,"{'a': 0.6199999999999999, 'e': 0.1677721600000001}",25,17,-5.696589873009182,"{0: 7, 1: 0, 2: 0, 3: 1, 4: 0}",1
10,False,"{'a': 0.5999999999999999, 'e': 0.13421772800000006}",25,3,-44.391927844519714,"{0: 17, 1: 0, 2: 3, 3: 2, 4: 0}",1
11,False,"{'a': 0.5799999999999998, 'e': 0.10737418240000006}",25,7,-19.2668452370184,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 1}",1
12,False,"{'a': 0.5599999999999998, 'e': 0.08589934592000005}",25,15,6.513958721382098,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
13,False,"{'a': 0.5399999999999998, 'e': 0.06871947673600004}",25,14,16.912365281306624,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
14,False,"{'a': 0.5199999999999998, 'e': 0.054975581388800036}",20,8,10.439087654129288,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
15,False,"{'a': 0.4999999999999998, 'e': 0.043980465111040035}",25,0,-103.6169655026439,"{0: 21, 1: 0, 2: 0, 3: 1, 4: 3}",0
16,False,"{'a': 0.4999999999999998, 'e': 0.03518437208883203}",20,1,15.6439456987364,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 0}",1
17,False,"{'a': 0.4999999999999998, 'e': 0.028147497671065624}",30,22,7.854990350117818,"{0: 7, 1: 1, 2: 0, 3: 0, 4: 0}",1
18,False,"{'a': 0.4999999999999998, 'e': 0.022517998136852502}",30,12,22.658421806813095,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 0}",1
19,False,"{'a': 0.4999999999999998, 'e': 0.018014398509482003}",30,0,-69.5111441652737,"{0: 26, 1: 1, 2: 0, 3: 1, 4: 2}",0
20,False,"{'a': 0.4999999999999998, 'e': 0.014411518807585602}",30,4,35.25781612936979,"{0: 26, 1: 0, 2: 0, 3: 0, 4: 0}",1
1,True,"{'a': 0, 'e': 0}",25,5,31.753353338542002,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
2,True,"{'a': 0, 'e': 0}",25,15,14.645717024650981,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
3,True,"{'a': 0, 'e': 0}",30,9,27.390803605894032,"{0: 21, 1: 0, 2: 0, 3: 0, 4: 0}",1
4,True,"{'a': 0, 'e': 0}",20,12,-37.642927793868154,"{0: 6, 1: 0, 2: 1, 3: 0, 4: 1}",1
5,True,"{'a': 0, 'e': 0}",20,14,-29.43645122586933,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 1}",1
6,True,"{'a': 0, 'e': 0}",20,8,-23.125595369241683,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 1}",1
7,True,"{'a': 0, 'e': 0}",20,0,-0.8937999444495497,"{0: 18, 1: 1, 2: 0, 3: 1, 4: 0}",0
8,True,"{'a': 0, 'e': 0}",30,17,21.6001934319565,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
9,True,"{'a': 0, 'e': 0}",20,0,-12.004164252641287,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",1
10,True,"{'a': 0, 'e': 0}",25,0,14.654484404502737,"{0: 23, 1: 1, 2: 1, 3: 0, 4: 0}",0
