trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.6799999999999999, 'e': 0.995}",25,0,-60.25748511927291,"{0: 18, 1: 1, 2: 5, 3: 1, 4: 0}",0
2,False,"{'a': 0.6599999999999999, 'e': 0.99}",20,0,-132.6554673063793,"{0: 12, 1: 1, 2: 4, 3: 1, 4: 2}",0
3,False,"{'a': 0.6399999999999999, 'e': 0.985}",30,0,-114.78733992675672,"{0: 19, 1: 2, 2: 7, 3: 1, 4: 1}",0
4,False,"{'a': 0.6199999999999999, 'e': 0.98}",20,0,-50.40148473973803,"{0: 13, 1: 3, 2: 3, 3: 1, 4: 0}",0
5,False,"{'a': 0.5999999999999999, 'e': 0.975}",25,0,-164.1768113614002,"{0: 12, 1: 2, 2: 9, 3: 0, 4: 2}",0
6,False,"{'a': 0.5799999999999998, 'e': 0.97}",20,0,-83.83971755594175,"{0: 13, 1: 1, 2: 5, 3: 0, 4: 1}",0
7,False,"{'a': 0.5599999999999998, 'e': 0.965}",20,0,-103.42931418539898,"{0: 11, 1: 1, 2: 7, 3: 0, 4: 1}",0
8,False,"{'a': 0.5399999999999998, 'e': 0.96}",20,0,-38.67117803913493,"{0: 15, 1: 2, 2: 1, 3: 2, 4: 0}",0
9,False,"{'a': 0.5199999999999998, 'e': 0.955}",20,0,-62.05544014385295,"{0: 15, 1: 0, 2: 4, 3: 0, 4: 1}",0
10,False,"{'a': 0.4999999999999998, 'e': 0.95}",25,0,-258.6655414135773,"{0: 10, 1: 4, 2: 5, 3: 2, 4: 4}",0
11,False,"{'a': 0.4999999999999998, 'e': 0.945}",30,0,-87.41590773444862,"{0: 21, 1: 4, 2: 3, 3: 1, 4: 1}",0
12,False,"{'a': 0.4999999999999998, 'e': 0.94}",25,0,-88.97890092570402,"{0: 19, 1: 2, 2: 2, 3: 0, 4: 2}",0
13,False,"{'a': 0.4999999999999998, 'e': 0.9349999999999999}",35,0,-170.77806510870352,"{0: 20, 1: 4, 2: 7, 3: 3, 4: 1}",0
14,False,"{'a': 0.4999999999999998, 'e': 0.9299999999999999}",20,0,-35.79933401819382,"{0: 15, 1: 2, 2: 2, 3: 1, 4: 0}",0
15,False,"{'a': 0.4999999999999998, 'e': 0.9249999999999999}",20,0,-196.27879270574132,"{0: 11, 1: 0, 2: 5, 3: 0, 4: 4}",0
16,False,"{'a': 0.4999999999999998, 'e': 0.9199999999999999}",25,0,-104.02546972692933,"{0: 15, 1: 2, 2: 7, 3: 0, 4: 1}",0
17,False,"{'a': 0.4999999999999998, 'e': 0.9149999999999999}",25,0,-83.28329694855842,"{0: 13, 1: 5, 2: 6, 3: 1, 4: 0}",0
18,False,"{'a': 0.4999999999999998, 'e': 0.9099999999999999}",35,0,-78.76724624351384,"{0: 24, 1: 2, 2: 8, 3: 1, 4: 0}",0
19,False,"{'a': 0.4999999999999998, 'e': 0.9049999999999999}",25,0,-112.7417934449298,"{0: 19, 1: 1, 2: 1, 3: 2, 4: 2}",0
20,False,"{'a': 0.4999999999999998, 'e': 0.8999999999999999}",25,0,-157.75136302150446,"{0: 8, 1: 7, 2: 7, 3: 3, 4: 0}",0
21,False,"{'a': 0.4999999999999998, 'e': 0.8949999999999999}",25,0,-74.51581305466976,"{0: 18, 1: 1, 2: 5, 3: 0, 4: 1}",0
22,False,"{'a': 0.4999999999999998, 'e': 0.8899999999999999}",20,0,-32.97993762043933,"{0: 14, 1: 2, 2: 4, 3: 0, 4: 0}",0
23,False,"{'a': 0.4999999999999998, 'e': 0.8849999999999999}",30,0,-116.8327473322884,"{0: 20, 1: 2, 2: 5, 3: 2, 4: 1}",0
24,False,"{'a': 0.4999999999999998, 'e': 0.8799999999999999}",30,0,-88.56859636344085,"{0: 21, 1: 1, 2: 7, 3: 0, 4: 1}",0
25,False,"{'a': 0.4999999999999998, 'e': 0.8749999999999999}",20,0,-73.03700447587269,"{0: 16, 1: 1, 2: 1, 3: 0, 4: 2}",0
26,False,"{'a': 0.4999999999999998, 'e': 0.8699999999999999}",25,0,-74.26486600932807,"{0: 20, 1: 0, 2: 2, 3: 2, 4: 1}",0
27,False,"{'a': 0.4999999999999998, 'e': 0.8649999999999999}",20,13,0.45915463513097743,"{0: 6, 1: 0, 2: 1, 3: 0, 4: 0}",1
28,False,"{'a': 0.4999999999999998, 'e': 0.8599999999999999}",25,0,-155.81414847465902,"{0: 14, 1: 2, 2: 6, 3: 1, 4: 2}",0
29,False,"{'a': 0.4999999999999998, 'e': 0.8549999999999999}",20,0,-55.64930166560392,"{0: 13, 1: 0, 2: 7, 3: 0, 4: 0}",0
30,False,"{'a': 0.4999999999999998, 'e': 0.8499999999999999}",35,0,-261.60191674269294,"{0: 19, 1: 3, 2: 7, 3: 2, 4: 4}",0
31,False,"{'a': 0.4999999999999998, 'e': 0.8449999999999999}",20,0,-56.86828364061435,"{0: 15, 1: 1, 2: 3, 3: 0, 4: 1}",0
32,False,"{'a': 0.4999999999999998, 'e': 0.8399999999999999}",20,0,-94.017338322196,"{0: 12, 1: 2, 2: 4, 3: 1, 4: 1}",0
33,False,"{'a': 0.4999999999999998, 'e': 0.8349999999999999}",20,0,-137.05917568228742,"{0: 11, 1: 2, 2: 2, 3: 4, 4: 1}",0
34,False,"{'a': 0.4999999999999998, 'e': 0.8299999999999998}",20,0,-107.53651419017544,"{0: 13, 1: 1, 2: 4, 3: 0, 4: 2}",0
35,False,"{'a': 0.4999999999999998, 'e': 0.8249999999999998}",20,0,-58.28221190869887,"{0: 14, 1: 2, 2: 3, 3: 0, 4: 1}",0
36,False,"{'a': 0.4999999999999998, 'e': 0.8199999999999998}",20,12,-7.409107041588423,"{0: 6, 1: 0, 2: 2, 3: 0, 4: 0}",1
37,False,"{'a': 0.4999999999999998, 'e': 0.8149999999999998}",20,0,-165.54812171095642,"{0: 11, 1: 1, 2: 5, 3: 0, 4: 3}",1
38,False,"{'a': 0.4999999999999998, 'e': 0.8099999999999998}",25,10,-103.64011593776561,"{0: 10, 1: 0, 2: 2, 3: 1, 4: 2}",1
39,False,"{'a': 0.4999999999999998, 'e': 0.8049999999999998}",25,0,-176.73882865709697,"{0: 14, 1: 1, 2: 7, 3: 0, 4: 3}",0
40,False,"{'a': 0.4999999999999998, 'e': 0.7999999999999998}",25,0,-82.85044350977972,"{0: 17, 1: 3, 2: 3, 3: 1, 4: 1}",0
41,False,"{'a': 0.4999999999999998, 'e': 0.7949999999999998}",25,8,-77.02448750028654,"{0: 10, 1: 1, 2: 5, 3: 0, 4: 1}",1
42,False,"{'a': 0.4999999999999998, 'e': 0.7899999999999998}",20,12,-4.801342518862866,"{0: 6, 1: 1, 2: 1, 3: 0, 4: 0}",1
43,False,"{'a': 0.4999999999999998, 'e': 0.7849999999999998}",20,6,-26.6326000058901,"{0: 9, 1: 3, 2: 1, 3: 1, 4: 0}",1
44,False,"{'a': 0.4999999999999998, 'e': 0.7799999999999998}",20,0,-84.76204786688041,"{0: 10, 1: 2, 2: 7, 3: 1, 4: 0}",0
