trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.6799999999999999, 'e': 1.0}",20,7,-86.46331200199334,"{0: 6, 1: 3, 2: 2, 3: 1, 4: 1}",1
2,False,"{'a': 0.6599999999999999, 'e': 0.9801986733067553}",20,0,-121.1188936302378,"{0: 13, 1: 1, 2: 3, 3: 1, 4: 2}",0
3,False,"{'a': 0.6399999999999999, 'e': 0.9607894391523232}",30,12,-40.511033807267864,"{0: 11, 1: 2, 2: 5, 3: 0, 4: 0}",1
4,False,"{'a': 0.6199999999999999, 'e': 0.9417645335842487}",30,0,-153.23063713000593,"{0: 17, 1: 4, 2: 6, 3: 1, 4: 2}",0
5,False,"{'a': 0.5999999999999999, 'e': 0.9231163463866358}",25,0,-88.46330295143814,"{0: 19, 1: 0, 2: 3, 3: 2, 4: 1}",0
6,False,"{'a': 0.5799999999999998, 'e': 0.9048374180359595}",25,0,-210.0575437616926,"{0: 13, 1: 1, 2: 6, 3: 2, 4: 3}",0
7,False,"{'a': 0.5599999999999998, 'e': 0.8869204367171575}",20,0,-71.52400850133573,"{0: 12, 1: 2, 2: 5, 3: 1, 4: 0}",0
8,False,"{'a': 0.5399999999999998, 'e': 0.8693582353988059}",20,0,-100.23221060788751,"{0: 14, 1: 0, 2: 4, 3: 0, 4: 2}",0
9,False,"{'a': 0.5199999999999998, 'e': 0.8521437889662113}",20,0,-57.95790231572692,"{0: 13, 1: 2, 2: 4, 3: 1, 4: 0}",0
10,False,"{'a': 0.4999999999999998, 'e': 0.835270211411272}",25,0,-113.5496549320981,"{0: 13, 1: 2, 2: 8, 3: 2, 4: 0}",0
11,False,"{'a': 0.4999999999999998, 'e': 0.8187307530779818}",25,0,-126.12358190386486,"{0: 18, 1: 0, 2: 3, 3: 2, 4: 2}",0
12,False,"{'a': 0.4999999999999998, 'e': 0.8025187979624785}",25,0,-88.75856435450349,"{0: 15, 1: 5, 2: 3, 3: 1, 4: 1}",0
13,False,"{'a': 0.4999999999999998, 'e': 0.7866278610665535}",25,12,-6.952740546913416,"{0: 10, 1: 1, 2: 2, 3: 0, 4: 0}",1
14,False,"{'a': 0.4999999999999998, 'e': 0.7710515858035663}",25,15,-18.054577545450474,"{0: 7, 1: 0, 2: 3, 3: 0, 4: 0}",1
15,False,"{'a': 0.4999999999999998, 'e': 0.7557837414557255}",20,0,-121.42372283074083,"{0: 12, 1: 0, 2: 6, 3: 0, 4: 2}",0
16,False,"{'a': 0.4999999999999998, 'e': 0.7408182206817179}",30,0,-142.5251523634285,"{0: 20, 1: 1, 2: 6, 3: 1, 4: 2}",0
17,False,"{'a': 0.4999999999999998, 'e': 0.7261490370736909}",25,0,-37.80033201037162,"{0: 21, 1: 1, 2: 2, 3: 0, 4: 1}",0
18,False,"{'a': 0.4999999999999998, 'e': 0.7117703227626097}",20,2,-41.58980548035807,"{0: 15, 1: 0, 2: 2, 3: 0, 4: 1}",1
19,False,"{'a': 0.4999999999999998, 'e': 0.697676326071031}",20,2,-82.19292223807332,"{0: 11, 1: 1, 2: 5, 3: 0, 4: 1}",1
20,False,"{'a': 0.4999999999999998, 'e': 0.6838614092123558}",20,3,-57.55435673663358,"{0: 12, 1: 2, 2: 1, 3: 1, 4: 1}",1
21,False,"{'a': 0.4999999999999998, 'e': 0.6703200460356393}",20,8,-17.40863657278421,"{0: 9, 1: 0, 2: 3, 3: 0, 4: 0}",1
22,False,"{'a': 0.4999999999999998, 'e': 0.6570468198150567}",20,0,-46.82509172891397,"{0: 15, 1: 2, 2: 2, 3: 0, 4: 1}",0
23,False,"{'a': 0.4999999999999998, 'e': 0.6440364210831414}",20,6,-56.80857206073197,"{0: 10, 1: 1, 2: 1, 3: 1, 4: 1}",1
24,False,"{'a': 0.4999999999999998, 'e': 0.631283645506926}",25,0,-54.028670806517084,"{0: 19, 1: 1, 2: 3, 3: 2, 4: 0}",0
25,False,"{'a': 0.4999999999999998, 'e': 0.6187833918061408}",20,12,-7.642800368174152,"{0: 6, 1: 0, 2: 2, 3: 0, 4: 0}",1
26,False,"{'a': 0.4999999999999998, 'e': 0.6065306597126334}",25,3,-15.839119378717347,"{0: 18, 1: 0, 2: 4, 3: 0, 4: 0}",1
27,False,"{'a': 0.4999999999999998, 'e': 0.5945205479701944}",20,0,-71.52617468854592,"{0: 14, 1: 0, 2: 5, 3: 0, 4: 1}",0
28,False,"{'a': 0.4999999999999998, 'e': 0.5827482523739896}",25,4,-99.72280230284585,"{0: 15, 1: 0, 2: 3, 3: 1, 4: 2}",1
29,False,"{'a': 0.4999999999999998, 'e': 0.5712090638488149}",20,0,-13.238729686852501,"{0: 16, 1: 1, 2: 3, 3: 0, 4: 0}",0
30,False,"{'a': 0.4999999999999998, 'e': 0.559898366565402}",20,0,14.924137125352827,"{0: 18, 1: 1, 2: 1, 3: 0, 4: 0}",0
31,False,"{'a': 0.4999999999999998, 'e': 0.5488116360940265}",20,10,-28.271078121326614,"{0: 7, 1: 0, 2: 2, 3: 1, 4: 0}",1
32,False,"{'a': 0.4999999999999998, 'e': 0.5379444375946745}",25,0,-66.17509587496724,"{0: 19, 1: 0, 2: 5, 3: 0, 4: 1}",0
